District,date,Region,urb_rural,hhsize,ReduceMealsPerDay,Education,SkipAMeal,RanOutOfFood,HungryDidntEat,DidntEatWholeDay,IncomeDecline,WorkHHFarm,WorkActivityLastWeek,NotEnoughFood,WorkedLastWeek,WorkedB4COVID
Rumphi,62020,1,1.75,4.75,,3.5,1.25,1.75,1.25,1.75,.75,1.5,,,1,
Rumphi,72020,34,1.75,5,,3.5,1.5,1.25,1.5,2,.5,1.5,,,,
Rumphi,82020,34,1.75,5.25,,3.5,1.5,1.5,1.5,2,.75,1.5,,,,
Mzimba,2017,1,1.9578947,4.318421052631579,1.6026316,1.7219251,1.7842106,1.6763158,1.7473685,1.3842105,.91315788,1.1394737,3.0797343,1.3289474,1.2078947,
Mzimba,2019,1,2,4.25925925925926,1.3333334,2.1755486,1.7222222,1.5555556,1.5864197,1.4290123,.47222221,1.1049383,2.9283276,,1.095679,
Mzimba,62020,1,1.8985507,4.72463768115942,,2.3188405,1.4927536,1.5217391,1.5072464,1.6086956,.65217394,1.1290323,,,1.4347826,1.6333333
Mzimba,72020,35.326633,1.9180328,4.836065573770492,,2.4426229,1.5737705,1.6065574,1.5573771,1.8032787,.27868852,1.1212121,,,1.1818181,2
Mzimba,82020,34.985073,1.8939394,5,,2.3636363,1.5909091,1.6818181,1.6363636,1.8636364,.28787878,1.1343284,,,1.0909091,2
Likoma,2017,1,1.8333334,4.78125,1.0104166,2.0628271,1.6666666,1.5625,1.5677084,1.3697916,.953125,1.703125,2.6854839,1.4739584,1.3541666,
Likoma,2019,1,2,5.25,.4375,2.65625,1.5625,1.46875,1.46875,1.3125,.625,1.46875,2.925926,,1.15625,
Mzuzu City,2017,1,1,4.294270833333333,.72135419,3.0261097,1.4401041,1.4114584,1.4739584,1.2057291,.84895831,1.6901041,2.0712166,1.59375,1.1223959,
Mzuzu City,2019,1,1,4.065104166666667,1.0104166,3.6413612,1.4947916,1.421875,1.40625,1.2604166,.47395834,1.7421875,2.1603498,,1.1067709,
Mzuzu City,62020,1,1.0144928,5.072463768115942,,3.0434783,1.3768116,1.4347826,1.4202899,1.6956521,.68115944,1.3174603,,,1.4492754,1.7741935
Mzuzu City,72020,34.321953,1.0149254,5.149253731343284,,3.0447762,1.3880597,1.4776119,1.5373135,1.7462686,.41791046,1.3283582,,,1.5555556,1.4
Mzuzu City,82020,34.985073,1.0151515,5.121212121212121,,3.121212,1.4242424,1.560606,1.5909091,1.8030303,.4848485,1.3076923,,,1.5,2
Kasungu,2017,2,1.9166666,4.651041666666667,1.328125,1.4591029,1.8463541,1.7942709,1.7864584,1.5859375,.984375,1.0703125,3.2757475,1.1822916,1.2161459,
Kasungu,2019,2,1.9583334,4.669270833333333,1.7916666,1.7513227,1.8046875,1.765625,1.7526041,1.5078125,.71614581,1.1588541,3.0708215,,1.0807291,
Kasungu,62020,2,1.9523809,5.690476190476191,,4.9285712,1.3571428,1.4523809,1.4047619,1.6904762,.66666669,1.0645162,,,1.4047619,1.3529412
Kasungu,72020,70.727272,1.8918918,5.621621621621622,,5.4594593,1.3513514,1.5135136,1.3513514,1.8378378,.43243244,1.0625,,,1.6666666,1.5
Kasungu,82020,68,1.9047619,5.761904761904762,,4.9285712,1.3095238,1.5238096,1.4523809,1.7380953,.59523809,1.0625,,,1,
Nkhotakota,2017,2,1.9164491,4.934725848563969,1.4203656,1.6419098,1.7885118,1.7571802,1.7127937,1.5221932,.94516969,1.2297651,2.9906542,1.3707572,1.1618799,
Nkhotakota,2019,2,1.9550562,5.050561797752809,1.0337079,2.0862069,1.7070422,1.712676,1.6788732,1.512676,.8202247,1.1853932,3.2678571,,1.0561798,
Nkhotakota,62020,2,1.9166666,6.111111111111111,,5.1111112,1.3333334,1.5,1.3055556,1.6111112,.6111111,1.0869565,,,1.3333334,1.75
Nkhotakota,72020,71.20388,1.8709677,6,,2.5483871,1.3548387,1.4516129,1.3870968,1.7741935,.51612902,1.0833334,,,1.25,1
Nkhotakota,82020,73.279999,1.875,6.125,,2.53125,1.40625,1.46875,1.375,1.78125,.3125,1.125,,,1.5,1
Ntchisi,2017,2,1.9582245,4.375979112271541,1.5039165,1.4986595,1.8146214,1.7336814,1.7624021,1.5013055,.97127938,1.0939947,3.2125001,1.3655353,1.1644908,
Ntchisi,2019,2,1.9523809,4.696428571428571,1.1934524,1.7264438,1.7708334,1.7827381,1.7113096,1.5714285,.86904764,1.0625,3.5080905,,1.0803572,
